,county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_prenat_1tri,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,goals_met,population_White,population_Black,population_Native,population_Asian,population_NativeHawaiian_PacificIslander,population_OtherRace,ADI_STATERNK_INT_mean
56,Montour,18230.0,-0.2,20.2,25.0,71.9,91.1,68.8,11.1,83.4,109.0,123.3,56.3,8.5,746.2,400.1,36.5,15.0,31.0,13.0,34.0,83.0,30.3,71.3,0,0.930135328418968,0.0201342281879194,0.0011552426009461,0.0355374628672021,0.0,0.0038508086698206,5.333333333333333
57,Warren,39191.0,-6.3,19.1,33.4,74.3,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,0,0.964957178330715,0.0059038159428368,0.0012922515583033,0.0041554755992499,0.0,0.0014442811533978,7.977272727272727
58,Butler,187853.0,2.2,19.8,30.1,82.2,88.0,54.1,8.4,43.8,104.7,122.1,49.4,7.4,761.5,226.7,32.3,21.0,40.0,8.0,34.0,86.0,1.6,54.8,3,0.9545682062641776,0.0101119287745343,0.0004792383305466,0.0129767090171354,9.0522795769923e-05,0.0029233538163345,4.518867924528302
59,Northampton,305285.0,2.5,19.8,32.7,78.2,89.9,50.9,10.5,46.3,93.7,102.6,49.3,9.3,688.0,403.7,118.7,18.0,45.0,6.0,32.0,89.0,1.1,43.2,2,0.8339266286037347,0.059342674857757,0.001725651063494,0.0289284857329743,0.000476608388965,0.0276564343775987,4.3017751479289945
60,Perry,46272.0,0.7,21.4,24.0,65.2,83.8,67.9,20.8,98.9,125.2,105.5,47.9,8.3,826.8,197.8,28.2,18.0,39.0,16.0,30.0,85.0,0.0,,1,0.9641471397914724,0.0094292588819283,0.0021893221771833,0.0034248802375739,0.0002167645719983,0.0047037912123642,4.970588235294118
61,Jefferson,43425.0,-3.9,21.1,26.4,71.8,79.9,66.6,20.2,118.1,131.2,90.6,35.2,5.1,826.1,145.2,16.0,27.0,35.0,10.0,41.0,86.0,1.9,41.5,3,0.9753270599036034,0.004728023869635,0.0005278861602019,0.0025935276566444,0.0,0.0026394308010098,7.727272727272727
62,Juniata,24763.0,0.5,22.1,21.9,65.7,89.1,68.0,14.8,105.2,133.7,106.9,46.6,10.2,707.3,135.2,16.2,19.0,37.0,7.0,34.0,88.0,0.0,,1,0.9594435657217018,0.0126130510605507,0.0001216693028348,0.0030417325708723,0.0,0.0064890294845277,6.0
63,Delaware,566747.0,1.4,22.1,31.6,69.6,93.6,58.8,10.7,42.9,87.8,125.6,68.6,13.4,753.1,535.9,151.0,12.0,50.0,6.0,26.0,90.0,1.8,66.4,1,0.6773253757110916,0.2164584099849998,0.0019563863810035,0.0584952452381626,0.0006173407296295,0.0128297200916989,4.318681318681318
64,Susquehanna,40328.0,-7.0,18.4,31.8,64.2,78.0,61.4,19.3,95.0,129.8,92.5,33.4,5.2,763.9,100.9,10.7,19.0,42.0,10.0,35.0,88.0,1.2,27.6,0,0.9720717170722096,0.0061077726332381,0.0002216530391094,0.0044330607821889,7.388434636981578e-05,0.0028322332775096,5.628571428571429
65,Clinton,38632.0,-1.5,19.5,27.3,68.8,82.9,52.5,15.2,50.3,137.2,91.0,37.6,8.6,777.6,231.3,25.8,21.0,33.0,8.0,36.0,89.0,0.6,27.9,1,0.9603621365015954,0.0165763054813354,0.0016861656592907,0.0077823030428804,0.0001815870710005,0.0026459830345793,6.285714285714286
66,York,449058.0,3.2,21.9,30.1,74.6,88.6,60.3,17.9,80.0,115.2,99.2,41.3,7.8,741.6,371.1,89.0,16.0,40.0,8.0,30.0,88.0,1.6,79.8,1,0.8717640540806205,0.0579454368359441,0.0014185886495036,0.0147600239484572,0.0006031794257731,0.0166254121726076,5.6722689075630255
67,Northumberland,90843.0,-3.9,19.3,28.8,70.1,77.9,62.7,24.5,104.6,115.0,87.9,34.4,6.7,828.5,262.5,33.9,15.0,31.0,13.0,34.0,83.0,0.7,21.3,2,0.937008132932898,0.0246947409956814,0.0013372207729574,0.0036609158866212,0.000284981476204,0.0102812547953613,7.473684210526316
